CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.wind,HOME.dataRecorderFileIndex,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.message,APP.tip,APP.warning
4/11/2023,56:01.2,0m 0.0s,0,7.498429667,80.35316574,0,0,0.3,403,0,,,,,,,,,5.7,2.5,113.9,113.9,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.626,TRUE,4.209,4.209,4.209,,FALSE,FALSE,1.344,100.2,100.2,100.2,,,,,,,,,Idle,,,TRUE,,FALSE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,Calm,,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:01.3,0m 0.1s,0.1,7.498429635,80.35316577,0,0,0.3,403,0,,,,,,,,,5.7,2.5,114,114,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.626,TRUE,4.209,4.209,4.209,,FALSE,FALSE,1.344,100.2,100.2,100.2,,,,,,,,,Idle,,,TRUE,,FALSE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,Calm,,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:01.4,0m 0.2s,0.2,7.498429542,80.35316587,0,0,0.3,403,0,,,,,,,,,5.7,2.5,114,114,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.626,TRUE,4.209,4.209,4.209,,FALSE,FALSE,1.344,100.2,100.2,100.2,,,,,,,,,Idle,,,TRUE,,FALSE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,Calm,,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:01.5,0m 0.3s,0.3,7.498429505,80.3531659,0,0,0.3,403,0,,,,,,,,,5.7,2.5,114,114,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.626,TRUE,4.209,4.209,4.209,,FALSE,FALSE,1.344,100.2,100.2,100.2,,,,,,,,,Idle,,,TRUE,,FALSE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,Calm,,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:01.6,0m 0.4s,0.4,7.498429422,80.35316582,0,0,0.3,403,0.1,,,,,,,,,5.7,2.5,114.1,114.1,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.626,TRUE,4.209,4.209,4.209,,FALSE,FALSE,1.344,100.2,100.2,100.2,,,,,,,,,Idle,,,TRUE,,FALSE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,Calm,,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:01.7,0m 0.5s,0.5,7.49842938,80.35316585,0,0,0.3,403,0.1,,,,,,,,,5.7,2.5,114.1,114.1,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.581,TRUE,4.194,4.194,4.194,,FALSE,FALSE,1.344,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,Data Recorder File Index is 35.,,
4/11/2023,56:01.8,0m 0.6s,0.6,7.49842947,80.35316595,0,0,0.3,403,0.1,,,,,,,,,5.7,2.5,114.1,114.1,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.626,2895,3325,12.581,TRUE,4.194,4.194,4.194,,FALSE,FALSE,1.344,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.3,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:01.9,0m 0.7s,0.7,7.498429439,80.35316598,0,0,0.3,403,0.1,,,,,,,,,5.7,2.5,114.1,114.1,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.3,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:02.0,0m 0.8s,0.8,7.498429347,80.35316608,0,0,0.3,403,0.2,,,,,,,,,5.6,2.5,114.2,114.2,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:02.1,0m 0.9s,0.9,7.498429311,80.35316611,0,0,0.3,403,0.2,,,,,,,,,5.6,2.5,114.2,114.2,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:02.3,0m 1.0s,1,7.498429389,80.35316604,0,0,0.3,403,0.2,,,,,,,,,5.7,2.5,114.2,114.2,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:02.4,0m 1.1s,1.1,7.498429347,80.35316607,0,0,0.3,403,0.3,,,,,,,,,5.7,2.5,112.5,112.5,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.3,117.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:02.5,0m 1.2s,1.2,7.498429414,80.35316617,0,0,0.3,403,0.3,,,,,,,,,5.6,2.5,112.4,112.4,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.2,117.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
4/11/2023,56:02.5,0m 1.3s,1.3,7.498429401,80.3531662,0,0,0.3,403,0.3,,,,,,,,,5.6,2.5,112.5,112.5,Starting Motors,Auto Fly,Takeoff (App Auto),23,5,TRUE,,Air 2S,FALSE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,117.1,117.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,100,100,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,88,12.507,2895,3325,12.581,FALSE,4.182,4.166,4.159,0.023,FALSE,FALSE,1.695,100.2,100.2,100.2,0,13,0,0,10,5234.5,1342.2,,Idle,0,15,FALSE,10,TRUE,17,Go Home,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.498463369,80.35316783,12.4,462.5,1640.4,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,285.4,198.8,16.4,Calm,35,, 1.9.9,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,257.6,0.2,9.8,3.325435,1.565858,0,38988,dji aircraft,3YTBJ7B003000F,42UQJ4U23A05JY,396LJ68101003F,1Z3PJ6QEA3082T,DJI Fly,, 1.9.9,79F37DF5-76F2-AAFE-490A-26C297CC919A,3YTBJ7B003000F,,,,,,,,,,
